"SQ_CANDIDATO";"NM_CANDIDATO";"NM_SOCIAL_CANDIDATO";"SG_PARTIDO";"DS_GENERO";"DS_GRAU_INSTRUCAO";"DS_ESTADO_CIVIL";"DS_COR_RACA";"DS_OCUPACAO";"DS_SITUACAO_CANDIDATURA";"BENS_TOTAL";"DS_SIT_TOT_TURNO";"TOTAL_VOTOS";"RECEITA_TOTAL";"TIPO_RECEITA";"ST_REELEICAO"
250000881908;"JOÃO BATISTA CAMILO";"#NULO";"PTB";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"EMPRESÁRIO";"APTO";502907,05;"SUPLENTE";524;0;"#NULO";"N"
250000881982;"FÁTIMA TERESINHA DE AGUIAR";"#NULO";"PTB";"FEMININO";"SUPERIOR COMPLETO";"DIVORCIADO(A)";"PRETA";"OUTROS";"APTO";NA;"SUPLENTE";454;7079,54;"Recursos de partido político";"N"
250001054410;"CARLOS ALBERTO JORGE";"#NULO";"PMN";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"VENDEDOR DE COMÉRCIO VAREJISTA E ATACADISTA";"APTO";NA;"NÃO ELEITO";187;2000;"Recursos de partido político";"N"
250001054371;"VÂNIA FERREIRA DE LIMA";"#NULO";"PMN";"FEMININO";"SUPERIOR INCOMPLETO";"SOLTEIRO(A)";"BRANCA";"OUTROS";"APTO";NA;"NÃO ELEITO";56;0;"#NULO";"N"
250001054412;"MAURÍCIO JOSÉ CARLOS";"#NULO";"PMN";"MASCULINO";"ENSINO MÉDIO INCOMPLETO";"SEPARADO(A) JUDICIALMENTE";"BRANCA";"EMPRESÁRIO";"APTO";1835000;"NÃO ELEITO";469;0;"#NULO";"N"
250001054382;"JOSÉ ROBERTO ALVES FERREIRA";"#NULO";"PMN";"MASCULINO";"ENSINO MÉDIO INCOMPLETO";"DIVORCIADO(A)";"BRANCA";"EMPRESÁRIO";"APTO";NA;"NÃO ELEITO";72;2000;"Recursos de partido político";"N"
250001054363;"DARLEY JEAN ALBUQUERQUE BARBOSA";"#NULO";"PMN";"MASCULINO";"ENSINO FUNDAMENTAL COMPLETO";"SOLTEIRO(A)";"PARDA";"EMPRESÁRIO";"APTO";NA;"NÃO ELEITO";216;0;"#NULO";"N"
250001054401;"ALEX SANDRO SILVA DOS SANTOS";"#NULO";"PMN";"MASCULINO";"ENSINO MÉDIO INCOMPLETO";"SOLTEIRO(A)";"PARDA";"LOCUTOR E COMENTARISTA DE RÁDIO E TELEVISÃO E RADIALISTA";"APTO";NA;"NÃO ELEITO";170;2000;"Recursos de partido político";"N"
250001054383;"VERA LUCIA DA SILVA RANU";"#NULO";"PMN";"FEMININO";"ENSINO FUNDAMENTAL COMPLETO";"DIVORCIADO(A)";"PARDA";"OUTROS";"APTO";980;"NÃO ELEITO";222;2000;"Recursos de partido político";"N"
250001054385;"GERALDO PEREIRA FILHO";"#NULO";"PMN";"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"BRANCA";"EMPRESÁRIO";"APTO";35900;"NÃO ELEITO";952;6049;"Recursos de partido político, Recursos próprios";"N"
250001054391;"THAIS ROCHA DOS SANTOS";"#NULO";"PMN";"FEMININO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"OUTROS";"APTO";23000;"NÃO ELEITO";101;0;"#NULO";"N"
250001054369;"NATAL DAVID DE SOUZA";"#NULO";"PMN";"MASCULINO";"ENSINO MÉDIO COMPLETO";"DIVORCIADO(A)";"BRANCA";"CABELEIREIRO E BARBEIRO";"APTO";320000;"NÃO ELEITO";387;2000;"Recursos de partido político";"N"
250001054381;"DEIVID LOPES DA SILVA";"#NULO";"PMN";"MASCULINO";"SUPERIOR INCOMPLETO";"SOLTEIRO(A)";"BRANCA";"ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS";"APTO";NA;"NÃO ELEITO";153;2000;"Recursos de partido político";"N"
250000645485;"LEVI GONÇALO CAVALINI";"#NULO";"PSL";"MASCULINO";"SUPERIOR COMPLETO";"DIVORCIADO(A)";"BRANCA";"OUTROS";"APTO";23000;"SUPLENTE";812;9294,45;"Recursos próprios, Recursos de outros candidatos";"N"
250000754008;"GILSON JOSE DA CRUZ";"#NULO";"PSL";"MASCULINO";"SUPERIOR INCOMPLETO";"CASADO(A)";"PARDA";"POLICIAL MILITAR";"APTO";139200;"SUPLENTE";1014;5449;"Recursos de outros candidatos, Recursos próprios";"N"
250000754025;"SIMONE SILVA SANTOS DA COSTA";"#NULO";"PSL";"FEMININO";"SUPERIOR COMPLETO";"DIVORCIADO(A)";"PRETA";"SECRETÁRIO E DATILÓGRAFO";"APTO";27042;"SUPLENTE";460;1210;"Recursos de pessoas físicas, Recursos próprios";"N"
250000754003;"MARCELO DOS SANTOS MARQUES BRAGA";"#NULO";"PSL";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"ARQUITETO";"APTO";10237,6;"SUPLENTE";661;83628,56;"Recursos de pessoas físicas, Recursos próprios, Recursos de Financiamento Coletivo, Recursos de outros candidatos";"N"
250000645484;"NOEMIA VIEIRA FONSECA";"#NULO";"PSL";"FEMININO";"SUPERIOR COMPLETO";"DIVORCIADO(A)";"BRANCA";"ADVOGADO";"APTO";159000;"SUPLENTE";256;20000;"Recursos de partido político";"N"
250000753998;"MARCEL LACERDA SOFFNER";"#NULO";"PSL";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"MILITAR REFORMADO";"APTO";108162,87;"SUPLENTE";883;14112,02;"Recursos de pessoas físicas, Recursos próprios, Recursos de Financiamento Coletivo, Recursos de outros candidatos";"N"
250000754035;"MARCO ANTONIO BIOTO";"#NULO";"PSL";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"SERVIDOR PÚBLICO ESTADUAL";"APTO";206807,9;"SUPLENTE";11035;89094,11;"Recursos de pessoas físicas, Recursos de outros candidatos, Recursos de Financiamento Coletivo, Recursos próprios";"N"
250000753992;"ANTONIO BERALDO ALVES";"#NULO";"PSL";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"PROFESSOR DE ENSINO MÉDIO";"APTO";NA;"SUPLENTE";806;4939;"Recursos próprios, Recursos de outros candidatos";"N"
250000754009;"JOSE CANDIDO FERREIRA NETO";"#NULO";"PSL";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"PARDA";"POLICIAL MILITAR";"APTO";6006,08;"SUPLENTE";101;1939;"Recursos de outros candidatos";"N"
250000754005;"EDSON RODRIGUES CARDOSO";"#NULO";"PSL";"MASCULINO";"SUPERIOR COMPLETO";"DIVORCIADO(A)";"BRANCA";"MILITAR REFORMADO";"APTO";37860;"SUPLENTE";1034;7043,28;"Recursos de pessoas físicas, Recursos próprios";"N"
250000754056;"WALDIR TIVERON";"#NULO";"PSL";"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"BRANCA";"CONTADOR";"APTO";3000;"SUPLENTE";450;450;"Recursos próprios";"N"
250000754031;"JOSÉ ROBERTO DE CASTRO";"#NULO";"PSL";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"MILITAR REFORMADO";"APTO";205861,09;"SUPLENTE";930;1765;"Recursos próprios";"N"
250000645482;"MARIA LENIR DA SILVA";"#NULO";"PSL";"FEMININO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"PARDA";"COZINHEIRO";"APTO";4000;"SUPLENTE";56;11939;"Recursos de outros candidatos, Recursos de partido político";"N"
250000754032;"MARIA SOLANGE PEDRO SILVA";"#NULO";"PSL";"FEMININO";"SUPERIOR INCOMPLETO";"CASADO(A)";"PARDA";"CORRETOR DE IMÓVEIS, SEGUROS, TÍTULOS E VALORES";"APTO";6000;"SUPLENTE";95;11939;"Recursos de partido político, Recursos de outros candidatos";"N"
250000688228;"DIEGO MONTEIRO DE SOUZA";"#NULO";"NOVO";"MASCULINO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"ECONOMISTA";"APTO";861700;"SUPLENTE";1540;38016,54;"Recursos de pessoas físicas, Recursos próprios, Recursos de Financiamento Coletivo, Recursos de partido político";"N"
250000688235;"NAIRA SATHIYO FERREIRA SILVA";"#NULO";"NOVO";"FEMININO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"ADVOGADO";"APTO";31348,14;"SUPLENTE";15791;459799,99;"Recursos de pessoas físicas, Recursos de partido político, Recursos próprios, Recursos de Financiamento Coletivo";"N"
250000688238;"MARCUS VINICIUS ANDRADE PAIXÃO";"#NULO";"NOVO";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"OUTROS";"APTO";33285;"SUPLENTE";439;11893,73;"Recursos de pessoas físicas, Recursos próprios, Recursos de Financiamento Coletivo, Recursos de partido político";"N"
250000688234;"VICTOR RODRIGUES COELHO";"#NULO";"NOVO";"MASCULINO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"EMPRESÁRIO";"APTO";606934;"SUPLENTE";2171;90839,35;"Recursos de partido político, Recursos de pessoas físicas, Recursos próprios, Recursos de Financiamento Coletivo";"N"
250000919187;"ANDRÉ RICARDO BARBOSA";"#NULO";"PSDB";"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"BRANCA";"REPRESENTANTE COMERCIAL";"APTO";NA;"SUPLENTE";111;7317,07;"Recursos de partido político";"N"
250000919189;"MARIA DA CONCEIÇÃO DE JESUS MOREIRA";"#NULO";"PSDB";"FEMININO";"SUPERIOR COMPLETO";"CASADO(A)";"PARDA";"ASSISTENTE SOCIAL";"APTO";NA;"SUPLENTE";418;7317,07;"Recursos de partido político";"N"
250000919219;"TUANE DA SILVA SANTOS";"#NULO";"PSDB";"FEMININO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"PARDA";"OUTROS";"APTO";NA;"SUPLENTE";1326;10137,07;"Recursos de partido político, Recursos de pessoas físicas";"N"
250000919199;"RUTE FREIRE DA COSTA SILVA";"#NULO";"PSDB";"FEMININO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"PSICÓLOGO";"APTO";313935,51;"ELEITO POR QP";41546;221045,84;"Recursos de pessoas físicas, Recursos próprios, Recursos de partido político";"N"
250000919252;"MORGANA SIQUEIRA";"#NULO";"PSDB";"FEMININO";"SUPERIOR COMPLETO";"DIVORCIADO(A)";"PARDA";"AGENTE ADMINISTRATIVO";"APTO";NA;"SUPLENTE";1539;7317,07;"Recursos de partido político";"N"
250000919214;"LEANDRO ALBUQUERQUE GIMENEZ";"#NULO";"PSDB";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"SERVIDOR PÚBLICO MUNICIPAL";"APTO";1038546,25;"SUPLENTE";7458;94827,07;"Recursos de pessoas físicas, Recursos de partido político, Recursos próprios";"N"
250000919207;"ALEXANDRE DE ALCANTARA";"#NULO";"PSDB";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"ODONTÓLOGO";"APTO";50000;"SUPLENTE";230;37867,07;"Recursos de partido político, Recursos próprios";"N"
