"SQ_CANDIDATO";"NM_CANDIDATO";"NM_SOCIAL_CANDIDATO";"SG_PARTIDO";"DS_GENERO";"DS_GRAU_INSTRUCAO";"DS_ESTADO_CIVIL";"DS_COR_RACA";"DS_OCUPACAO";"DS_SITUACAO_CANDIDATURA";"ST_REELEICAO";"DS_SITUACAO_JULGAMENTO_URNA";"DS_SIT_TOT_TURNO";"TOTAL_VOTOS";"RECEITA_TOTAL";"TIPO_RECEITA";"BENS_TOTAL"
250002173953;"JANETE SILVA DE OLIVEIRA";"#NULO";"PDT";"FEMININO";"SUPERIOR COMPLETO";"DIVORCIADO(A)";"BRANCA";"DIRETOR DE ESTABELECIMENTO DE ENSINO";"#NE";"N";"DEFERIDO";"NÃO ELEITO";812;86666,65;"FUNDO ESPECIAL";621131,8
250002173954;"LEIZ DA SILVA ROSA";"#NULO";"PDT";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"PRETA";"PROFESSOR DE ENSINO MÉDIO";"#NE";"N";"DEFERIDO";"NÃO ELEITO";415;15000;"FUNDO ESPECIAL";36000
250002173934;"JUDICLEIDE VITAL DA SILVA";"#NULO";"PDT";"FEMININO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"PARDA";"OUTROS";"#NE";"N";"DEFERIDO";"NÃO ELEITO";550;80000;"FUNDO ESPECIAL";40000
250002173940;"ANTONIO BASILIO FILHO";"#NULO";"PDT";"MASCULINO";"SUPERIOR COMPLETO";"DIVORCIADO(A)";"BRANCA";"ADVOGADO";"#NE";"N";"DEFERIDO";"NÃO ELEITO";2165;34000;"FUNDO ESPECIAL, OUTROS RECURSOS";472218,22
250002173914;"ANDERSON DA SILVA CRUZ";"#NULO";"PDT";"MASCULINO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"PARDA";"ADVOGADO";"#NE";"N";"DEFERIDO";"NÃO ELEITO";261;20250;"OUTROS RECURSOS, FUNDO ESPECIAL";20000
250002034094;"GERALDO RIBEIRO GUIMARÃES NETO";"#NULO";"PSB";"MASCULINO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"OUTROS";"#NE";"N";"DEFERIDO";"SUPLENTE";1669;65226,81;"FUNDO ESPECIAL, OUTROS RECURSOS";1334192
250002034122;"FERNANDA DE MORAES DA SILVA";"#NULO";"PSB";"FEMININO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"PARDA";"ASSISTENTE SOCIAL";"#NE";"N";"DEFERIDO";"SUPLENTE";206;37994,81;"FUNDO ESPECIAL";84075,06
250002034102;"ELISEU GABRIEL DE PIERI";"#NULO";"PSB";"MASCULINO";"SUPERIOR COMPLETO";"DIVORCIADO(A)";"BRANCA";"APOSENTADO (EXCETO SERVIDOR PÚBLICO)";"#NE";"S";"DEFERIDO";"ELEITO POR QP";30706;1065707,78;"OUTROS RECURSOS, FUNDO ESPECIAL";2600041,45
250002034087;"RICARDO BARBOSA";"#NULO";"PSB";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"PRETA";"OUTROS";"#NE";"N";"DEFERIDO";"SUPLENTE";1683;61790,81;"FUNDO ESPECIAL";320000
250002034128;"MARCELO SILVA DOS SANTOS";"#NULO";"PSB";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"PARDA";"TÉCNICO DE ENFERMAGEM E ASSEMELHADOS (EXCETO ENFERMEIRO)";"#NE";"N";"DEFERIDO";"SUPLENTE";1704;58816,81;"FUNDO ESPECIAL";255000
250002034117;"MARIO LUIZ CORTES";"#NULO";"PSB";"MASCULINO";"SUPERIOR COMPLETO";"DIVORCIADO(A)";"PRETA";"OUTROS";"#NE";"N";"DEFERIDO";"SUPLENTE";641;35965,81;"FUNDO ESPECIAL";NA
250002034111;"WILLIAM GABRIEL CALLEGARO";"#NULO";"PSB";"MASCULINO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"ADVOGADO";"#NE";"N";"DEFERIDO";"SUPLENTE";3144;185785,03;"FUNDO ESPECIAL, OUTROS RECURSOS";NA
250002034113;"WAGNER LEONARDO DE CARVALHO PINTO";"#NULO";"PSB";"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"PRETA";"APOSENTADO (EXCETO SERVIDOR PÚBLICO)";"#NE";"S";"DEFERIDO";"SUPLENTE";480;77448,81;"FUNDO ESPECIAL";106980
250002034137;"LARISSA AGOSTINI DE SOUZA";"#NULO";"PSB";"FEMININO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"OUTROS";"#NE";"N";"DEFERIDO";"SUPLENTE";2898;139587,61;"OUTROS RECURSOS, FUNDO ESPECIAL";98699,42
250002034108;"JOSÉ VALDO SOUZA DE SANTANA";"#NULO";"PSB";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"PRETA";"PROFESSOR DE ENSINO MÉDIO";"#NE";"N";"DEFERIDO";"SUPLENTE";1331;72180,8;"OUTROS RECURSOS, FUNDO ESPECIAL";1e+06
250002034112;"MARIA DE FATIMA VIEIRA MARTINS";"#NULO";"PSB";"FEMININO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"SERVIDOR PÚBLICO CIVIL APOSENTADO";"#NE";"S";"DEFERIDO";"SUPLENTE";622;17994,81;"FUNDO ESPECIAL";246927,11
250001962504;"ANA CAROLINA FRANÇA DE SOUZA";"#NULO";"MDB";"FEMININO";"ENSINO MÉDIO INCOMPLETO";"SOLTEIRO(A)";"PRETA";"DONA DE CASA";"#NE";"N";"DEFERIDO";"SUPLENTE";159;103000;"OUTROS RECURSOS";NA
250001962464;"FABIO RIVA DOS SANTOS";"#NULO";"MDB";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"PARDA";"VEREADOR";"#NE";"S";"DEFERIDO";"ELEITO POR QP";44627;1140000;"OUTROS RECURSOS, FUNDO ESPECIAL";2044900,87
250001962514;"GILSON ALMEIDA BARRETO";"#NULO";"MDB";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"ADVOGADO";"#NE";"S";"DEFERIDO";"SUPLENTE";18626;660000;"FUNDO ESPECIAL, OUTROS RECURSOS";5250111,08
250001962513;"DALCIDES BATISTA DA SILVA NETO";"#NULO";"MDB";"MASCULINO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"PARDA";"EMPRESÁRIO";"#NE";"N";"DEFERIDO";"SUPLENTE";12102;958000;"FUNDO ESPECIAL, OUTROS RECURSOS";8669967,2
250001962496;"PATRICIA ALMEIDA SILVESTRI";"#NULO";"MDB";"FEMININO";"SUPERIOR COMPLETO";"CASADO(A)";"PARDA";"ADVOGADO";"#NE";"N";"DEFERIDO";"SUPLENTE";319;150750;"FUNDO ESPECIAL, OUTROS RECURSOS";70000
250002351310;"HELOISA ALVES DE ARAUJO ZAGATO";"#NULO";"PMB";"FEMININO";"SUPERIOR COMPLETO";"SEPARADO(A) JUDICIALMENTE";"PARDA";"ENFERMEIRO";"#NE";"N";"DEFERIDO";"NÃO ELEITO";138;0;"#NULO";NA
250002351312;"LUCIO JOSE ESCUDERO";"#NULO";"PMB";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"APOSENTADO (EXCETO SERVIDOR PÚBLICO)";"#NE";"N";"DEFERIDO";"NÃO ELEITO";100;0;"#NULO";350000
250001881824;"EDILENE MARTINS LURA";"#NULO";"UNIÃO";"FEMININO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"PARDA";"OUTROS";"#NE";"N";"DEFERIDO";"SUPLENTE";4449;1061191,36;"FUNDO PARTIDARIO, FUNDO ESPECIAL, OUTROS RECURSOS";513648,96
250001881820;"NISE HITOMI YAMAGUCHI";"#NULO";"UNIÃO";"FEMININO";"SUPERIOR COMPLETO";"DIVORCIADO(A)";"AMARELA";"MÉDICO";"#NE";"N";"DEFERIDO";"SUPLENTE";16554;625818,88;"OUTROS RECURSOS, FUNDO PARTIDARIO, FUNDO ESPECIAL";3114683,9
250001881808;"RINALDI CESAR DIGILIO";"#NULO";"UNIÃO";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"VEREADOR";"#NE";"S";"DEFERIDO";"SUPLENTE";21183;973156,45;"OUTROS RECURSOS, FUNDO PARTIDARIO, FUNDO ESPECIAL";3248285,87
250001881792;"ALISSON GUIMARAES PEREIRA DE SOUZA";"#NULO";"UNIÃO";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"PARDA";"POLICIAL MILITAR";"#NE";"N";"DEFERIDO";"SUPLENTE";3283;476799,45;"FUNDO PARTIDARIO, FUNDO ESPECIAL, OUTROS RECURSOS";619876,35
250001933081;"KELLY SANTOS MULLER";"#NULO";"PODE";"FEMININO";"SUPERIOR COMPLETO";"DIVORCIADO(A)";"PARDA";"ATLETA PROFISSIONAL E TÉCNICO EM DESPORTOS";"#NE";"N";"DEFERIDO";"SUPLENTE";310;208461,51;"OUTROS RECURSOS, FUNDO ESPECIAL";69410
