"SQ_CANDIDATO";"NM_CANDIDATO";"NM_SOCIAL_CANDIDATO";"SG_PARTIDO";"DS_GENERO";"DS_GRAU_INSTRUCAO";"DS_ESTADO_CIVIL";"DS_COR_RACA";"DS_OCUPACAO";"DS_SITUACAO_CANDIDATURA";"ST_REELEICAO";"BENS_TOTAL";"DS_SIT_TOT_TURNO";"TOTAL_VOTOS";"RECEITA_TOTAL";"TIPO_RECEITA"
250000044426;"MARIA APARECIDA DE SOUSA";"#NULO#";"PPL";"FEMININO";"SUPERIOR INCOMPLETO";"DIVORCIADO(A)";"BRANCA";"OUTROS";"APTO";"N";NA;"NÃO ELEITO";91;200;"Recursos próprios"
250000038353;"SONIA CRISTINA DOS SANTOS CIPRIANO";"#NULO#";"PSDC";"FEMININO";"ENSINO MÉDIO COMPLETO";"VIÚVO(A)";"PRETA";"OUTROS";"APTO";"N";NA;"NÃO ELEITO";105;NA;NA
250000005785;"ELANIR SILVA DOS SANTOS";"#NULO#";"NOVO";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"ECONOMISTA";"APTO";"N";55061,4;"SUPLENTE";995;2320,73;"Recursos de origens não identificadas, Recursos próprios, Recursos de pessoas físicas"
250000008302;"ROBERTO VITOR DA SILVA";"#NULO#";"PRB";"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"PARDA";"OPERADOR DE EQUIPAMENTO DE RÁDIO, TELEVISÃO, SOM E CINEMA";"APTO";"N";NA;"SUPLENTE";1305;NA;NA
250000006201;"RONALDO CRUZ DA SILVA";"#NULO#";"PC do B";"MASCULINO";"SUPERIOR COMPLETO";"DIVORCIADO(A)";"PARDA";"JORNALISTA E REDATOR";"APTO";"N";NA;"NÃO ELEITO";125;4647,48;"Recursos próprios, Recursos de partido político"
250000005010;"LUCAS HIDEO NAMASU";"#NULO#";"PSDB";"MASCULINO";"SUPERIOR INCOMPLETO";"SOLTEIRO(A)";"BRANCA";"PROFESSOR E INSTRUTOR DE FORMAÇÃO PROFISSIONAL";"APTO";"N";26896,23;"SUPLENTE";1265;NA;NA
250000038401;"IZAUL PEREIRA DE AGUIAR";"#NULO#";"PSDC";"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"PRETA";"REPRESENTANTE COMERCIAL";"APTO";"N";27000;"NÃO ELEITO";324;4625,12;"Recursos próprios, Recursos de outros candidatos, Recursos de partido político"
250000011657;"RONALDO GONÇALVES DA SILVA";"#NULO#";"PV";"MASCULINO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"PARDA";"EMPRESÁRIO";"APTO";"N";NA;"SUPLENTE";297;NA;NA
250000011000;"PATRICIA ELISUA DE OLIVEIRA FERREIRA FERNANDES";"#NULO#";"PSB";"FEMININO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"ADVOGADO";"APTO";"N";NA;"SUPLENTE";1245;NA;NA
250000011026;"SALVADOR SERRATO";"#NULO#";"DEM";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"EMPRESÁRIO";"APTO";"N";430000;"SUPLENTE";584;3594,8;"Recursos de outros candidatos, Recursos de partido político"
250000058384;"RICARDO MARTINS PEREIRA";"#NULO#";"PTN";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"ADVOGADO";"APTO";"N";29000;"SUPLENTE";1915;1351,17;"Recursos próprios, Recursos de partido político"
250000040553;"INALDO JOSÉ RAIMUNDO";"#NULO#";"SD";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"PRETA";"APOSENTADO (EXCETO SERVIDOR PÚBLICO)";"APTO";"N";10000;"NÃO ELEITO";178;NA;NA
